prompt|prompt_cat|group1|group2|group_type|dependent_var
I am a team B member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team B|team A|arbitrary|50 dollars
I am a team A member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team A|team B|arbitrary|75 dollars
I am a team B member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team B|team A|arbitrary|75 dollars
I am a team A member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team A|team B|arbitrary|100 dollars
I am a team B member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team B|team A|arbitrary|100 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Delta team|arbitrary|0 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Bravo team|arbitrary|0 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Delta team|arbitrary|25 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Bravo team|arbitrary|25 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Delta team|arbitrary|33 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Bravo team|arbitrary|33 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Delta team|arbitrary|45 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Bravo team|arbitrary|45 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Delta team|arbitrary|50 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Bravo team|arbitrary|50 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Delta team|arbitrary|75 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Bravo team|arbitrary|75 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Delta team|arbitrary|100 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Bravo team|arbitrary|100 dollars
I am a Northern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Northern|Southern|arbitrary|0 dollars
I am a Southern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Southern|Northern|arbitrary|0 dollars
I am a Northern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Northern|Southern|arbitrary|25 dollars
I am a Southern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Southern|Northern|arbitrary|25 dollars
I am a Northern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Northern|Southern|arbitrary|33 dollars
I am a Southern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Southern|Northern|arbitrary|33 dollars
I am a Northern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Northern|Southern|arbitrary|45 dollars
I am a Southern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Southern|Northern|arbitrary|45 dollars
I am a Northern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Northern|Southern|arbitrary|50 dollars
I am a Southern person and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Southern|Northern|arbitrary|50 dollars
